objectid,filename,title,format,location,date,creator,recipient,keywords,medium,rights
insal001,flyer001,Where Unions are Strong,image/jpg,"Washington, DC",1968,"Unknown (Gargan, Joseph)",Public,"Kennedy, Robert, union(s), Indiana, 1968, campaign promotion, campaign, Kennedy for President Committee",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal002,flyer002,Kennedy Flyer Promises (small one),image/jpg,"Washington, DC",1968,"Unknown (Gargan, Joseph)",Public,"Kennedy, Robert F. Kennedy, RFK, Vietnam, Ameican(s), crime, equal opportunity, ordinary, campaign promotion, campaign,",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal003,button001,RFK in '68 Campaign Button,image/jpg,"New York, NY",1968,Unknown (N.G. Slater Corporation),Public,"RFK, 1968, campaign promotion, Indiana, button",Pin Button,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal004,paper001,Kennedy Sign,image/jpg,"Washington, DC",1968,"Unknown (Gargan, Joseph)",Public,"Kennedy, campaign promotion, Indiana",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal005,speech001,Indianapolis Reverend MLK Jr. speech,image/jpg,"Indianapolis, IN",4/4/1968,"Kennedy, Robert F.; Guthman, Edwin O.",Public,"RFK, Kennedy, Indiana, Indianapolis, John Lewis, MLK, MLK Jr., Martin Luther King, Richard Lugar, United States, black, white, speech, campus",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal006,speech002,The Conduct of American Foreign Policy,image/jpg,"Bloomington, IN",4/24/1968,"Kennedy, Robert F.; Guthman, Edwin O.",Public,"RFK, Kennedy, Indiana, Bloomington, University of Indiana, Indiana University, Democratic, Vietnam, Johnson, war, 1968, America, campus, speech, foreign policy, Soviet Union",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal007,letter001,May 17 Letter,image/pdf,"Washington, DC",5/17/1968,"Kennedy, Robert F.","Lied, Sally A.","Sally A. Lied, Kennedy, Robert F. Kennedy, RFK, Vietnam, politics, campaign, Foster, students, democracy, candidacy",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal008,letter002,April 30 Letter,image/jpg,"Washington, DC",4/30/1968,"Kennedy, Robert F.","Lied, Sally A.","Sally A. Lied, Kennedy, Robert F. Kennedy, RFK, Democratic, candidacy",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal009,letter003,February 26 Letter,image/jpg,"Bloomington, IN",2/26/1968,"Lied, Sally A.","Shepard, Martin","Sally A. Lied, Kennedy, Citizens for Kennedy, 1968, campus, college, students, Foster, newsletter, Senator Kennedy, chapter, Martin Shepard",Paper (onionskin),"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal0010,letter004,March 5 Letter,image/jpg,"New York, NY",3/5/1968,"Shepard, Martin","Lied, Sally A.","Sally A. Lied, Bloomington, Indiana, Citizens for Kennedy, newsletter, 1968, Martin Shepard, chapter,",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
